"treated","trump_approval","video_id","vote_pres_2020","vote_pres_2024","partisanship","democratic_party_fav","republican_party_fav","trump_fav","biden_fav"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","other_did_not_vote","Republican","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat unfavorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"Republican Donald Trump","other_did_not_vote","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Unfavorable"
0,0,NA,"Republican Donald Trump","other_did_not_vote","Something else","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Very unfavorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat favorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Somewhat favorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Democrat","Very favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Unfavorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat unfavorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Never heard of/Not sure","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","other_did_not_vote","Something else","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Not sure/Never Heard of"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Republican Donald Trump","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Favorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Republican","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Something else","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Democrat Joe Biden","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Unfavorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Something else","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","other_did_not_vote","Independent","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,0,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Democrat","Very favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"other_did_not_vote","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat unfavorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","other_did_not_vote","Democrat","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat favorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Something else","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Something else","Somewhat favorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Republican Donald Trump","Republican","Never heard of/Not sure","Never heard of/Not sure","Somewhat Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","Republican Donald Trump","Independent","Very unfavorable","Very unfavorable","Very Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Never heard of/Not sure","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Democrat Joe Biden","Republican Donald Trump","Independent","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Republican Donald Trump","other_did_not_vote","Republican","Very unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Never heard of/Not sure","Very Unfavorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Democrat Joe Biden","Republican Donald Trump","Republican","Very favorable","Very favorable","Very Favorable","Very Favorable"
0,1,NA,"other_did_not_vote","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Something else","Somewhat unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Very Favorable"
0,1,NA,"other_did_not_vote","Republican Donald Trump","Republican","Somewhat favorable","Somewhat favorable","Somewhat Favorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"other_did_not_vote","other_did_not_vote","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","other_did_not_vote","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Very unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","Democrat Kamala Harris","Independent","Never heard of/Not sure","Never heard of/Not sure","Very Unfavorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat favorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat favorable","Somewhat favorable","Very Favorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Republican","Somewhat favorable","Somewhat favorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Something else","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Not sure/Never Heard of"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","other_did_not_vote","Democrat","Never heard of/Not sure","Somewhat favorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Independent","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Democrat Kamala Harris","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Something else","Very unfavorable","Somewhat unfavorable","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Republican","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"Republican Donald Trump","Democrat Kamala Harris","Independent","Never heard of/Not sure","Never heard of/Not sure","Somewhat Unfavorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"other_did_not_vote","Republican Donald Trump","Republican","Very unfavorable","Somewhat favorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Somewhat Favorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Somewhat favorable","Somewhat unfavorable","Very Unfavorable","Somewhat Favorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Somewhat unfavorable","Very unfavorable","Very Unfavorable","Somewhat Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Very favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Independent","Very favorable","Very unfavorable","Somewhat Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Somewhat favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very unfavorable","Somewhat Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Somewhat unfavorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Republican","Somewhat favorable","Very unfavorable","Somewhat Unfavorable","Somewhat Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat unfavorable","Very favorable","Very Favorable","Very Unfavorable"
0,0,NA,"Democrat Joe Biden","Democrat Kamala Harris","Democrat","Somewhat favorable","Very unfavorable","Very Unfavorable","Very Favorable"
0,1,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Very unfavorable","Very favorable","Somewhat Favorable","Very Unfavorable"
0,0,NA,"other_did_not_vote","other_did_not_vote","Independent","Never heard of/Not sure","Very unfavorable","Very Unfavorable","Not sure/Never Heard of"
0,0,NA,"Republican Donald Trump","Republican Donald Trump","Republican","Somewhat favorable","Somewhat favorable","Very Unfavorable","Somewhat Unfavorable"
